artsid;artsnavn;DanskNavn;LatinskNavn
1683;Knortegås, Sortbuget (ssp. nigricans);Knortegås, Sortbuget (ssp. nigricans);(Branta bernicla nigricans)
1690;Rødhalset Gås;Rødhalset Gås;(Branta ruficollis)
1600;Dværggås;Dværggås;(Anser erythropus)
1592;Blisgås, Grønlandsk (ssp. flavirostris);Blisgås, Grønlandsk (ssp. flavirostris);(Anser albifrons flavirostris)
2070;Kongeederfugl;Kongeederfugl;(Somateria spectabilis)
2132;Amerikansk Sortand;Amerikansk Sortand;(Melanitta americana)
2140;Brilleand;Brilleand;(Melanitta perspicillata)
1960;Rødhovedet And;Rødhovedet And;(Netta rufina)
2020;Hvidøjet And;Hvidøjet And;(Aythya nyroca)
1845;Krikand, Amerikansk (ssp. carolinensis);Krikand, Amerikansk (ssp. carolinensis);(Anas crecca carolinensis)
6870;Turteldue;Turteldue;(Streptopelia turtur)
4080;Plettet Rørvagtel;Plettet Rørvagtel;(Porzana porzana)
4550;Stylteløber;Stylteløber;(Himantopus himantopus)
4820;Pomeransfugl;Pomeransfugl;(Eudromias morinellus)
4770;Hvidbrystet Præstekrave;Hvidbrystet Præstekrave;(Anarhynchus alexandrinus)
5200;Tredækker;Tredækker;(Gallinago media)
5650;Thorshane;Thorshane;(Phalaropus fulicarius)
5640;Odinshane;Odinshane;(Phalaropus lobatus)
5470;Damklire;Damklire;(Tringa stagnatilis)
5140;Kærløber;Kærløber;(Calidris falcinellus)
5070;Stribet Ryle;Stribet Ryle;(Calidris melanotos)
5680;Lille Kjove;Lille Kjove;(Stercorarius longicaudus)
5660;Mellemkjove;Mellemkjove;(Stercorarius pomarinus)
6540;Lunde;Lunde;(Fratercula arctica)
6470;Søkonge;Søkonge;(Alle alle)
6050;Sandterne;Sandterne;(Gelochelidon nilotica)
6280;Hvidvinget Terne;Hvidvinget Terne;(Chlidonias leucopterus)
5790;Sabinemåge;Sabinemåge;(Xema sabini)
5902;Stormmåge, Russisk (ssp. heinei);Stormmåge, Russisk (ssp. heinei);(Larus canus heinei)
5915;Middelhavssølvmåge;Middelhavssølvmåge;(Larus michahellis)
5990;Gråmåge;Gråmåge;(Larus hyperboreus)
5911;Sildemåge, Baltisk (ssp. fuscus);Sildemåge, Baltisk (ssp. fuscus);(Larus fuscus fuscus)
5980;Hvidvinget Måge;Hvidvinget Måge;(Larus glaucoides)
5981;Hvidvinget Måge (ssp. glaucoides);Hvidvinget Måge (ssp. glaucoides);(Larus glaucoides glaucoides)
40;Islom;Islom;(Gavia immer)
50;Hvidnæbbet Lom;Hvidnæbbet Lom;(Gavia adamsii)
520;Lille Stormsvale;Lille Stormsvale;(Hydrobates pelagicus)
550;Stor Stormsvale;Stor Stormsvale;(Hydrobates leucorhous)
430;Sodfarvet Skråpe;Sodfarvet Skråpe;(Ardenna grisea)
460;Almindelig Skråpe;Almindelig Skråpe;(Puffinus puffinus)
1310;Sort Stork;Sort Stork;(Ciconia nigra)
800;Topskarv;Topskarv;(Gulosus aristotelis)
1360;Sort Ibis;Sort Ibis;(Plegadis falcinellus)
1190;Silkehejre;Silkehejre;(Egretta garzetta)
1110;Kohejre;Kohejre;(Ardea ibis)
7700;Perleugle;Perleugle;(Aegolius funereus)
7570;Kirkeugle;Kirkeugle;(Athene noctua)
2929;Lille Skrigeørn/Stor Skrigeørn;Lille Skrigeørn/Stor Skrigeørn;(Clanga pomarina/C. clanga)
2920;Lille Skrigeørn;Lille Skrigeørn;(Clanga pomarina)
2960;Kongeørn;Kongeørn;(Aquila chrysaetos)
2620;Steppehøg;Steppehøg;(Circus macrourus)
2380;Sort Glente;Sort Glente;(Milvus migrans)
8460;Hærfugl;Hærfugl;(Upupa epops)
8400;Biæder;Biæder;(Merops apiaster)
8830;Mellemflagspætte;Mellemflagspætte;(Dendrocoptes medius)
3070;Aftenfalk;Aftenfalk;(Falco vespertinus)
15080;Pirol;Pirol;(Oriolus oriolus)
15570;Nøddekrige;Nøddekrige;(Nucifraga caryocatactes)
15571;Nøddekrige, Tyknæbbet (ssp. caryocatactes);Nøddekrige, Tyknæbbet (ssp. caryocatactes);(Nucifraga caryocatactes caryocatactes)
15572;Nøddekrige, Tyndnæbbet (ssp. macrorhynchos);Nøddekrige, Tyndnæbbet (ssp. macrorhynchos);(Nucifraga caryocatactes macrorhynchos)
14900;Pungmejse;Pungmejse;(Remiz pendulinus)
9720;Toplærke;Toplærke;(Galerida cristata)
12480;Buskrørsanger;Buskrørsanger;(Acrocephalus dumetorum)
12530;Drosselrørsanger;Drosselrørsanger;(Acrocephalus arundinaceus)
12370;Flodsanger;Flodsanger;(Locustella fluviatilis)
12380;Savisanger;Savisanger;(Locustella luscinioides)
9950;Rødrygget Svale;Rødrygget Svale;(Cecropis rufula)
13000;Hvidbrynet Løvsanger;Hvidbrynet Løvsanger;(Phylloscopus inornatus)
12980;Fuglekongesanger;Fuglekongesanger;(Phylloscopus proregulus)
13030;Brun Løvsanger;Brun Løvsanger;(Phylloscopus fuscatus)
13113;Gransanger, Sibirisk (ssp. tristis);Gransanger, Sibirisk (ssp. tristis);(Phylloscopus collybita tristis)
12930;Lundsanger;Lundsanger;(Phylloscopus trochiloides)
12730;Høgesanger;Høgesanger;(Curruca nisoria)
15840;Rosenstær;Rosenstær;(Pastor roseus)
12012;Vindrossel, Islandsk (ssp. coburni);Vindrossel, Islandsk (ssp. coburni);(Turdus iliacus coburni)
11040;Sydlig Nattergal;Sydlig Nattergal;(Luscinia megarhynchos)
11061;Blåhals, Nordlig (ssp. svecica);Blåhals, Nordlig (ssp. svecica);(Luscinia svecica svecica)
13430;Lille Fluesnapper;Lille Fluesnapper;(Ficedula parva)
13480;Hvidhalset Fluesnapper;Hvidhalset Fluesnapper;(Ficedula albicollis)
10172;Gul Vipstjert, Gulhovedet (ssp. flavissima);Gul Vipstjert, Gulhovedet (ssp. flavissima);(Motacilla flava flavissima)
10180;Citronvipstjert;Citronvipstjert;(Motacilla citreola)
10202;Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);(Motacilla alba yarrellii)
10050;Markpiber;Markpiber;(Anthus campestris)
10020;Storpiber;Storpiber;(Anthus richardi)
10120;Rødstrubet Piber;Rødstrubet Piber;(Anthus cervinus)
10140;Bjergpiber;Bjergpiber;(Anthus spinoletta)
16640;Gråsisken, Hvidsisken (ssp. exilipes);Gråsisken, Hvidsisken (ssp. exilipes);(Acanthis flammea exilipes)
16650;Hvidvinget Korsnæb;Hvidvinget Korsnæb;(Loxia leucoptera)
16680;Stor Korsnæb;Stor Korsnæb;(Loxia pytyopsittacus)
16400;Gulirisk;Gulirisk;(Serinus serinus)
18470;Lapværling;Lapværling;(Calcarius lapponicus)
18740;Dværgværling;Dværgværling;(Emberiza pusilla)
18660;Hortulan;Hortulan;(Emberiza hortulana)
